epoch,train_loss,little_acc,big_acc,val_loss,val_cascade_acc,val_little_acc,val_big_acc,val_exit_ratio,val_little_ece,lr,time_s
1,2.9982,0.3465,0.4126,2.9082,0.5142,0.4128,0.5210,0.09,0.0390,0.100000,40.9
2,2.5067,0.4438,0.5343,2.7673,0.5498,0.4532,0.5550,0.20,0.0704,0.099901,40.0
3,2.3210,0.4807,0.5826,2.5797,0.6060,0.4470,0.6192,0.23,0.0778,0.099606,42.4
4,2.1937,0.5055,0.6155,2.3761,0.6262,0.5202,0.6314,0.25,0.0265,0.099114,42.3
5,2.1009,0.5242,0.6415,2.5256,0.5944,0.5322,0.5904,0.36,0.0743,0.098429,42.9
6,2.0439,0.5380,0.6543,2.2691,0.6618,0.5442,0.6586,0.34,0.0498,0.097553,42.5
7,1.9893,0.5462,0.6680,2.4562,0.6456,0.4694,0.6746,0.32,0.1143,0.096489,42.6
8,1.9560,0.5555,0.6733,2.1496,0.6958,0.5324,0.7058,0.28,0.0313,0.095241,42.3
9,1.9205,0.5591,0.6836,2.1874,0.6552,0.5686,0.6510,0.31,0.0194,0.093815,43.3
10,1.8849,0.5690,0.6914,2.1540,0.6830,0.5534,0.6828,0.31,0.0309,0.092216,43.3
11,1.8725,0.5712,0.6931,2.2342,0.6670,0.5600,0.6628,0.35,0.0353,0.090451,42.5
12,1.8503,0.5786,0.6968,2.2336,0.6716,0.5566,0.6690,0.35,0.0455,0.088526,42.9
13,1.8244,0.5779,0.7048,2.0407,0.7118,0.5736,0.7126,0.35,0.0310,0.086448,42.5
14,1.8017,0.5876,0.7072,2.0022,0.7108,0.5946,0.7126,0.40,0.0267,0.084227,42.4
15,1.7808,0.5904,0.7159,2.0222,0.6962,0.5968,0.6986,0.41,0.0385,0.081871,43.0
16,1.7611,0.5985,0.7176,1.8570,0.7324,0.6096,0.7362,0.35,0.0228,0.079389,42.4
17,1.7500,0.6011,0.7210,2.0452,0.6782,0.6114,0.6696,0.36,0.0163,0.076791,43.4
18,1.7269,0.6052,0.7226,1.8550,0.7226,0.6256,0.7234,0.42,0.0221,0.074088,42.1
