epoch,train_loss,little_acc,big_acc,val_loss,val_cascade_acc,val_little_acc,val_big_acc,val_exit_ratio,val_little_ece,lr,time_s
1,3.3198,0.3561,0.3768,2.9826,0.4800,0.4380,0.4798,0.08,0.0336,0.100000,46.1
2,2.9857,0.4524,0.4698,2.7768,0.5166,0.4938,0.5132,0.12,0.0445,0.099901,45.0
3,2.8316,0.4949,0.5139,2.6264,0.5582,0.5194,0.5530,0.17,0.0459,0.099606,45.8
4,2.7374,0.5194,0.5448,2.5154,0.5748,0.5386,0.5702,0.16,0.0602,0.099114,42.4
5,2.6720,0.5327,0.5677,2.4357,0.6074,0.5414,0.6004,0.19,0.0368,0.098429,38.8
6,2.6279,0.5392,0.5861,2.4179,0.5976,0.5604,0.5896,0.22,0.0435,0.097553,38.7
7,2.5796,0.5519,0.6006,2.4269,0.6146,0.5468,0.6102,0.18,0.0549,0.096489,39.3
8,2.5462,0.5543,0.6123,2.3882,0.6450,0.5310,0.6378,0.21,0.0229,0.095241,39.1
9,2.5086,0.5659,0.6212,2.3541,0.6162,0.5896,0.5958,0.24,0.0641,0.093815,38.7
10,2.4705,0.5773,0.6337,2.2639,0.6434,0.5806,0.6326,0.23,0.0567,0.092216,39.2
11,2.4554,0.5815,0.6386,2.2402,0.6662,0.5534,0.6692,0.31,0.0207,0.090451,38.9
12,2.4255,0.5854,0.6500,2.3216,0.6464,0.5478,0.6416,0.27,0.0236,0.088526,39.1
13,2.4043,0.5908,0.6577,2.3691,0.6322,0.5548,0.6154,0.26,0.0238,0.086448,39.2
14,2.3896,0.5965,0.6617,2.1918,0.6622,0.5738,0.6616,0.24,0.0440,0.084227,38.7
15,2.3766,0.5951,0.6676,2.0958,0.6734,0.6020,0.6626,0.29,0.0452,0.081871,38.9
16,2.3595,0.6012,0.6708,2.0058,0.7070,0.6170,0.6942,0.30,0.0582,0.079389,38.7
17,2.3583,0.6004,0.6725,2.1656,0.6880,0.5732,0.6804,0.26,0.0261,0.076791,38.4
18,2.3390,0.6046,0.6788,2.2506,0.6294,0.5952,0.6200,0.27,0.0520,0.074088,38.1
19,2.3263,0.6067,0.6862,2.1659,0.6948,0.5840,0.6716,0.25,0.0464,0.071289,38.9
20,2.3152,0.6098,0.6883,2.0918,0.6852,0.5920,0.6740,0.33,0.0187,0.068406,39.1
21,2.3054,0.6118,0.6912,2.0773,0.6848,0.5978,0.6834,0.32,0.0306,0.065451,38.5
22,2.2988,0.6141,0.6915,2.1462,0.6766,0.5870,0.6742,0.26,0.0444,0.062434,39.0
23,2.2802,0.6170,0.6971,2.0288,0.6850,0.6142,0.6820,0.30,0.0520,0.059369,38.0
24,2.2677,0.6192,0.7052,1.9383,0.7242,0.6248,0.7194,0.32,0.0513,0.056267,38.0
25,2.2613,0.6220,0.7032,2.1859,0.6578,0.6040,0.6426,0.26,0.0693,0.053140,39.9
26,2.2502,0.6224,0.7087,1.9731,0.7116,0.6340,0.7080,0.30,0.0761,0.050000,39.2
27,2.2333,0.6261,0.7145,1.9319,0.7362,0.6062,0.7408,0.34,0.0350,0.046860,39.3
28,2.2271,0.6294,0.7165,1.9260,0.7258,0.6496,0.7134,0.29,0.0922,0.043733,39.1
29,2.2148,0.6323,0.7204,1.8586,0.7378,0.6336,0.7396,0.33,0.0524,0.040631,38.7
30,2.2023,0.6347,0.7247,1.8622,0.7424,0.6316,0.7388,0.29,0.0719,0.037566,41.9
31,2.1924,0.6360,0.7271,1.8363,0.7444,0.6428,0.7456,0.32,0.0702,0.034549,42.1
32,2.1775,0.6409,0.7293,1.8127,0.7430,0.6512,0.7384,0.31,0.0819,0.031594,42.0
33,2.1628,0.6439,0.7363,1.8941,0.7242,0.6412,0.7196,0.31,0.0683,0.028711,42.5
34,2.1527,0.6479,0.7388,1.7501,0.7486,0.6742,0.7448,0.34,0.0826,0.025912,42.8
35,2.1395,0.6489,0.7439,1.7546,0.7510,0.6652,0.7520,0.35,0.0743,0.023209,42.3
36,2.1348,0.6519,0.7442,1.7077,0.7616,0.6750,0.7620,0.33,0.0915,0.020611,42.1
37,2.1111,0.6563,0.7556,1.7185,0.7566,0.6670,0.7566,0.34,0.0792,0.018129,41.0
38,2.1003,0.6572,0.7569,1.6735,0.7736,0.6706,0.7744,0.34,0.0822,0.015773,41.5
39,2.0885,0.6596,0.7636,1.6771,0.7698,0.6772,0.7674,0.34,0.0935,0.013552,40.7
40,2.0745,0.6634,0.7664,1.6543,0.7770,0.6846,0.7788,0.35,0.0923,0.011474,40.9
41,2.0596,0.6683,0.7688,1.6353,0.7840,0.6776,0.7828,0.35,0.0851,0.009549,42.1
42,2.0463,0.6671,0.7758,1.6236,0.7812,0.6838,0.7796,0.35,0.0924,0.007784,43.0
43,2.0349,0.6691,0.7819,1.6030,0.7848,0.6916,0.7836,0.36,0.0930,0.006185,43.0
44,2.0233,0.6735,0.7842,1.5752,0.7964,0.6866,0.7978,0.37,0.0850,0.004759,43.3
45,2.0163,0.6752,0.7865,1.5662,0.7990,0.6920,0.7998,0.37,0.0929,0.003511,42.9
46,2.0028,0.6757,0.7910,1.5768,0.7978,0.6938,0.7988,0.36,0.0915,0.002447,43.2
47,2.0003,0.6774,0.7924,1.5389,0.7970,0.6962,0.7976,0.38,0.0891,0.001571,43.6
48,1.9942,0.6780,0.7960,1.5361,0.8020,0.6970,0.8046,0.37,0.0902,0.000886,42.9
49,1.9875,0.6794,0.7969,1.5359,0.8030,0.6988,0.8068,0.37,0.0935,0.000394,43.5
50,1.9834,0.6805,0.7983,1.5361,0.8026,0.6982,0.8042,0.37,0.0926,0.000099,43.5
