epoch,train_loss,little_acc,big_acc,val_loss,val_cascade_acc,val_little_acc,val_big_acc,val_exit_ratio,val_little_ece,lr,time_s
1,3.3975,0.3604,0.3755,2.9806,0.4668,0.4370,0.4688,0.13,0.0382,0.100000,40.6
2,2.9216,0.4566,0.4675,2.8298,0.5106,0.4766,0.5028,0.21,0.0538,0.099901,41.0
3,2.7256,0.4932,0.5099,2.7374,0.5182,0.4896,0.5180,0.24,0.0533,0.099606,43.8
4,2.6077,0.5194,0.5387,2.5895,0.5486,0.5254,0.5412,0.26,0.0281,0.099114,45.3
5,2.5078,0.5276,0.5662,2.5464,0.5714,0.5224,0.5642,0.33,0.0672,0.098429,43.4
6,2.4320,0.5372,0.5888,2.3570,0.6192,0.5394,0.6186,0.32,0.0494,0.097553,44.1
7,2.3656,0.5478,0.6050,2.6182,0.5770,0.4860,0.5826,0.34,0.1059,0.096489,44.7
8,2.3102,0.5529,0.6179,2.2432,0.6348,0.5728,0.6298,0.33,0.0157,0.095241,44.8
9,2.2702,0.5555,0.6310,2.3497,0.6124,0.5580,0.5994,0.33,0.0338,0.093815,44.2
10,2.2165,0.5615,0.6428,2.2670,0.6342,0.5710,0.6362,0.33,0.0218,0.092216,43.8
11,2.1993,0.5666,0.6489,2.1452,0.6700,0.5742,0.6750,0.38,0.0473,0.090451,43.8
12,2.1630,0.5659,0.6575,2.3452,0.6324,0.5312,0.6382,0.35,0.0709,0.088526,44.4
13,2.1417,0.5730,0.6658,2.2653,0.6396,0.5604,0.6450,0.37,0.0603,0.086448,43.5
14,2.1155,0.5791,0.6691,2.3105,0.6212,0.5564,0.6176,0.36,0.0545,0.084227,43.9
15,2.0921,0.5773,0.6770,2.1470,0.6628,0.5810,0.6554,0.39,0.0431,0.081871,43.9
16,2.0847,0.5824,0.6770,2.0561,0.6642,0.6108,0.6646,0.38,0.0174,0.079389,43.7
17,2.0699,0.5819,0.6787,2.3162,0.6386,0.5714,0.6392,0.33,0.0286,0.076791,43.6
18,2.0615,0.5855,0.6842,2.0445,0.6782,0.6000,0.6808,0.38,0.0272,0.074088,45.7
19,2.0168,0.5915,0.6911,2.0180,0.6836,0.5988,0.6808,0.38,0.0285,0.071289,44.5
20,2.0038,0.5945,0.6968,1.9656,0.6820,0.6118,0.6842,0.41,0.0359,0.068406,43.4
21,1.9930,0.5968,0.6941,2.0640,0.6920,0.5682,0.7116,0.41,0.0758,0.065451,43.7
22,1.9697,0.6000,0.6994,1.9465,0.6848,0.6100,0.6942,0.39,0.0263,0.062434,43.7
23,1.9443,0.6062,0.7048,1.9853,0.6892,0.6292,0.6884,0.40,0.0225,0.059369,43.9
24,1.9210,0.6093,0.7080,1.8529,0.7092,0.6394,0.7066,0.40,0.0113,0.056267,43.0
25,1.9053,0.6124,0.7087,1.8886,0.7100,0.6254,0.7078,0.41,0.0189,0.053140,43.1
26,1.8886,0.6158,0.7108,1.8880,0.7118,0.6326,0.7108,0.43,0.0234,0.050000,44.0
27,1.8611,0.6215,0.7180,1.9419,0.6980,0.6214,0.7040,0.44,0.0397,0.046860,44.3
28,1.8496,0.6238,0.7192,1.8996,0.7008,0.6378,0.7006,0.42,0.0190,0.043733,43.4
29,1.8311,0.6282,0.7230,1.7667,0.7314,0.6428,0.7368,0.41,0.0156,0.040631,45.3
30,1.8102,0.6304,0.7274,1.7019,0.7360,0.6586,0.7356,0.42,0.0192,0.037566,45.6
31,1.7867,0.6351,0.7323,1.7280,0.7346,0.6534,0.7418,0.45,0.0101,0.034549,44.6
32,1.7659,0.6370,0.7368,1.7820,0.7266,0.6508,0.7256,0.46,0.0259,0.031594,44.3
33,1.7425,0.6422,0.7412,1.8234,0.7158,0.6442,0.7174,0.45,0.0201,0.028711,44.7
34,1.7220,0.6433,0.7483,1.6461,0.7538,0.6720,0.7596,0.48,0.0155,0.025912,45.2
35,1.7038,0.6493,0.7480,1.6379,0.7488,0.6738,0.7510,0.47,0.0129,0.023209,43.4
36,1.6900,0.6518,0.7510,1.5991,0.7600,0.6740,0.7696,0.46,0.0183,0.020611,44.0
37,1.6604,0.6585,0.7570,1.7393,0.7354,0.6604,0.7360,0.48,0.0274,0.018129,43.9
38,1.6464,0.6600,0.7604,1.5513,0.7686,0.6846,0.7750,0.47,0.0188,0.015773,44.9
39,1.6263,0.6649,0.7626,1.5399,0.7700,0.6828,0.7808,0.48,0.0152,0.013552,43.2
40,1.6065,0.6666,0.7661,1.5608,0.7718,0.6732,0.7808,0.48,0.0169,0.011474,43.8
41,1.5779,0.6690,0.7752,1.5312,0.7732,0.6864,0.7830,0.49,0.0188,0.009549,43.8
42,1.5570,0.6739,0.7764,1.4875,0.7856,0.6942,0.7940,0.47,0.0163,0.007784,43.7
43,1.5438,0.6756,0.7802,1.4491,0.7942,0.6994,0.7994,0.49,0.0182,0.006185,45.1
44,1.5217,0.6800,0.7844,1.4392,0.7896,0.7004,0.7980,0.49,0.0170,0.004759,44.2
45,1.5036,0.6818,0.7870,1.4190,0.7922,0.7074,0.8014,0.50,0.0217,0.003511,46.7
46,1.4875,0.6826,0.7936,1.4170,0.7922,0.7064,0.7980,0.50,0.0187,0.002447,40.5
47,1.4826,0.6867,0.7921,1.4034,0.7908,0.7072,0.7962,0.51,0.0167,0.001571,44.3
48,1.4735,0.6886,0.7941,1.4001,0.7940,0.7110,0.7978,0.50,0.0222,0.000886,42.3
49,1.4665,0.6895,0.7944,1.3952,0.7936,0.7106,0.8018,0.51,0.0216,0.000394,42.6
50,1.4621,0.6895,0.7977,1.3932,0.7962,0.7092,0.8014,0.50,0.0232,0.000099,44.8
