epoch,train_loss,little_acc,big_acc,val_loss,val_cascade_acc,val_little_acc,val_big_acc,val_exit_ratio,val_little_ece,lr,time_s
1,3.6053,0.3688,0.3927,2.9560,0.4722,0.4534,0.4722,0.07,0.0411,0.100000,43.8
2,3.2209,0.4777,0.4844,2.6524,0.5324,0.5064,0.5272,0.21,0.0225,0.099901,43.9
3,3.0150,0.5363,0.5432,2.4635,0.5938,0.5388,0.5926,0.23,0.0246,0.099606,44.3
4,2.8912,0.5610,0.5781,2.3737,0.6020,0.5414,0.6044,0.30,0.0310,0.099114,44.3
5,2.8157,0.5741,0.6018,2.3534,0.6188,0.5478,0.6320,0.33,0.0520,0.098429,44.3
6,2.7387,0.5892,0.6232,2.3369,0.6282,0.5524,0.6296,0.23,0.0240,0.097553,43.7
7,2.6830,0.6037,0.6412,2.1353,0.6772,0.5776,0.6770,0.33,0.0247,0.096489,43.6
8,2.6546,0.6093,0.6505,2.2881,0.6300,0.5914,0.6128,0.33,0.0220,0.095241,43.4
9,2.6351,0.6110,0.6573,2.0189,0.6786,0.6386,0.6732,0.28,0.0837,0.093815,43.8
10,2.6022,0.6163,0.6651,1.9971,0.6902,0.6294,0.6904,0.33,0.0442,0.092216,44.2
11,2.5806,0.6232,0.6696,2.0683,0.6742,0.6256,0.6708,0.29,0.0487,0.090451,44.4
12,2.5698,0.6266,0.6734,1.9955,0.6906,0.6456,0.6854,0.30,0.0813,0.088526,43.4
13,2.5435,0.6315,0.6796,1.9816,0.7012,0.6296,0.6982,0.35,0.0370,0.086448,43.4
14,2.5347,0.6331,0.6875,2.0113,0.6860,0.6494,0.6718,0.36,0.0481,0.084227,44.1
15,2.5215,0.6368,0.6869,1.8928,0.7060,0.6528,0.7066,0.36,0.0591,0.081871,43.7
16,2.5061,0.6371,0.6917,1.9409,0.7156,0.6448,0.7132,0.31,0.0714,0.079389,43.1
17,2.4902,0.6394,0.6953,1.9271,0.7052,0.6422,0.7054,0.35,0.0414,0.076791,44.3
18,2.4782,0.6421,0.7005,2.0213,0.6942,0.6164,0.6922,0.32,0.0365,0.074088,43.4
19,2.4599,0.6522,0.7035,1.8348,0.7258,0.6668,0.7244,0.34,0.0748,0.071289,44.5
20,2.4481,0.6469,0.7107,1.8890,0.7218,0.6282,0.7260,0.36,0.0250,0.068406,43.9
21,2.4289,0.6533,0.7119,1.8672,0.7156,0.6522,0.7164,0.41,0.0351,0.065451,44.3
22,2.4238,0.6550,0.7111,1.9104,0.7104,0.6420,0.7144,0.39,0.0239,0.062434,41.0
23,2.4078,0.6610,0.7146,1.8138,0.7374,0.6642,0.7370,0.37,0.0536,0.059369,41.5
24,2.3866,0.6678,0.7213,1.8096,0.7198,0.6670,0.7184,0.40,0.0403,0.056267,38.9
25,2.3782,0.6703,0.7213,1.7071,0.7410,0.6902,0.7370,0.43,0.0477,0.053140,38.8
26,2.3513,0.6742,0.7277,1.7748,0.7348,0.6794,0.7308,0.39,0.0562,0.050000,42.4
27,2.3406,0.6771,0.7303,1.7877,0.7200,0.6758,0.7188,0.43,0.0333,0.046860,42.5
28,2.3263,0.6804,0.7362,1.7661,0.7424,0.6758,0.7408,0.41,0.0451,0.043733,42.7
29,2.3065,0.6885,0.7377,1.7563,0.7326,0.6898,0.7274,0.40,0.0584,0.040631,44.8
30,2.2900,0.6914,0.7413,1.6303,0.7582,0.6916,0.7620,0.41,0.0609,0.037566,43.6
31,2.2707,0.6966,0.7490,1.6574,0.7510,0.6972,0.7540,0.47,0.0347,0.034549,44.7
32,2.2564,0.6983,0.7500,1.5991,0.7750,0.7060,0.7732,0.44,0.0590,0.031594,44.4
33,2.2377,0.7028,0.7556,1.6236,0.7650,0.6970,0.7696,0.44,0.0514,0.028711,43.4
34,2.2230,0.7045,0.7602,1.5787,0.7852,0.7040,0.7874,0.45,0.0509,0.025912,44.6
35,2.2036,0.7122,0.7618,1.5814,0.7620,0.7256,0.7598,0.44,0.0840,0.023209,44.1
36,2.1880,0.7142,0.7692,1.5225,0.7796,0.7174,0.7828,0.48,0.0494,0.020611,43.5
37,2.1681,0.7200,0.7710,1.5092,0.7882,0.7240,0.7864,0.44,0.0728,0.018129,43.4
38,2.1471,0.7243,0.7782,1.4976,0.7860,0.7158,0.7908,0.46,0.0577,0.015773,42.9
39,2.1343,0.7259,0.7835,1.4416,0.7986,0.7392,0.7996,0.47,0.0706,0.013552,43.3
40,2.1118,0.7304,0.7893,1.4475,0.7944,0.7382,0.7930,0.49,0.0664,0.011474,44.0
41,2.0937,0.7351,0.7944,1.4073,0.8066,0.7474,0.8058,0.48,0.0804,0.009549,43.4
42,2.0823,0.7374,0.7979,1.4020,0.8094,0.7448,0.8074,0.47,0.0793,0.007784,44.1
43,2.0669,0.7380,0.8003,1.3815,0.8094,0.7548,0.8116,0.49,0.0813,0.006185,44.2
44,2.0531,0.7433,0.8031,1.3691,0.8124,0.7506,0.8134,0.48,0.0856,0.004759,43.5
45,2.0366,0.7463,0.8100,1.3386,0.8142,0.7618,0.8136,0.50,0.0867,0.003511,43.6
46,2.0268,0.7481,0.8090,1.3323,0.8120,0.7650,0.8126,0.50,0.0880,0.002447,43.3
47,2.0149,0.7522,0.8145,1.3178,0.8200,0.7662,0.8202,0.50,0.0856,0.001571,43.7
48,2.0091,0.7543,0.8154,1.3151,0.8188,0.7666,0.8192,0.50,0.0890,0.000886,43.5
49,1.9997,0.7557,0.8201,1.3133,0.8200,0.7710,0.8208,0.50,0.0918,0.000394,44.1
50,1.9948,0.7550,0.8211,1.3124,0.8180,0.7702,0.8194,0.50,0.0895,0.000099,44.4
