eval_id,generation,cascade_acc,objective_acc,little_acc,big_acc,exit_ratio,exit_penalty,little_ece,routing_error_rate,total_params,total_bytes,budget_utilisation,n_params,little_flops,big_flops,cascade_flops,threshold,n_little_blocks,n_big_blocks,time_s,genotype
1,0,0.5638,0.5638,0.4868,0.5562,0.30,0.0000,0.0866,0.0244,97837,452788,0.9826,97837,1616960,5194016,5274586,0.700,2,4,129.4,"{'little': [{'channels': 24, 'layers': 2, 'kernel_size': 5, 'conv_type': 'depthwise_separable', 'use_residual': False}, {'channels': 32, 'layers': 1, 'kernel_size': 5, 'conv_type': 'standard', 'use_residual': True}], 'big': [{'channels': 48, 'layers': 1, 'kernel_size': 5, 'conv_type': 'standard', 'use_residual': True}, {'channels': 32, 'layers': 2, 'kernel_size': 5, 'conv_type': 'standard', 'use_residual': True}, {'channels': 24, 'layers': 1, 'kernel_size': 5, 'conv_type': 'depthwise_separable', 'use_residual': False}, {'channels': 32, 'layers': 2, 'kernel_size': 5, 'conv_type': 'depthwise_separable', 'use_residual': True}], 'threshold': 0.7}"
2,0,0.5990,0.5990,0.5112,0.5744,0.36,0.0000,0.0976,0.0340,92301,430644,0.9346,92301,4214864,4260800,6954558,0.700,2,4,125.2,"{'little': [{'channels': 24, 'layers': 2, 'kernel_size': 5, 'conv_type': 'standard', 'use_residual': False}, {'channels': 8, 'layers': 2, 'kernel_size': 5, 'conv_type': 'depthwise_separable', 'use_residual': False}], 'big': [{'channels': 48, 'layers': 1, 'kernel_size': 3, 'conv_type': 'depthwise_separable', 'use_residual': False}, {'channels': 32, 'layers': 2, 'kernel_size': 5, 'conv_type': 'standard', 'use_residual': False}, {'channels': 16, 'layers': 2, 'kernel_size': 3, 'conv_type': 'standard', 'use_residual': False}, {'channels': 64, 'layers': 1, 'kernel_size': 5, 'conv_type': 'depthwise_separable', 'use_residual': True}], 'threshold': 0.7}"
3,0,0.5952,0.5952,0.4692,0.6066,0.24,0.0000,0.0792,0.0256,78788,360208,0.7817,78788,7168320,4448112,10548885,0.700,1,4,130.7,"{'little': [{'channels': 32, 'layers': 2, 'kernel_size': 5, 'conv_type': 'standard', 'use_residual': False}], 'big': [{'channels': 24, 'layers': 2, 'kernel_size': 5, 'conv_type': 'standard', 'use_residual': True}, {'channels': 16, 'layers': 2, 'kernel_size': 5, 'conv_type': 'depthwise_separable', 'use_residual': True}, {'channels': 24, 'layers': 2, 'kernel_size': 5, 'conv_type': 'depthwise_separable', 'use_residual': True}, {'channels': 24, 'layers': 2, 'kernel_size': 5, 'conv_type': 'standard', 'use_residual': False}], 'threshold': 0.7}"
4,0,0.5868,0.5868,0.5026,0.5846,0.23,0.0000,0.0337,0.0120,85885,388596,0.8433,85885,4147440,1400576,5223362,0.700,1,4,128.1,"{'little': [{'channels': 24, 'layers': 2, 'kernel_size': 5, 'conv_type': 'standard', 'use_residual': False}], 'big': [{'channels': 32, 'layers': 1, 'kernel_size': 5, 'conv_type': 'depthwise_separable', 'use_residual': False}, {'channels': 48, 'layers': 2, 'kernel_size': 3, 'conv_type': 'depthwise_separable', 'use_residual': True}, {'channels': 48, 'layers': 1, 'kernel_size': 5, 'conv_type': 'standard', 'use_residual': True}, {'channels': 32, 'layers': 1, 'kernel_size': 3, 'conv_type': 'depthwise_separable', 'use_residual': False}], 'threshold': 0.7}"
5,0,0.6024,0.6024,0.5496,0.5910,0.28,0.0000,0.0285,0.0220,68181,309588,0.6718,68181,4313168,703728,4818304,0.700,2,4,131.2,"{'little': [{'channels': 24, 'layers': 2, 'kernel_size': 5, 'conv_type': 'standard', 'use_residual': True}, {'channels': 8, 'layers': 2, 'kernel_size': 3, 'conv_type': 'standard', 'use_residual': False}], 'big': [{'channels': 24, 'layers': 1, 'kernel_size': 5, 'conv_type': 'depthwise_separable', 'use_residual': True}, {'channels': 24, 'layers': 2, 'kernel_size': 3, 'conv_type': 'depthwise_separable', 'use_residual': False}, {'channels': 48, 'layers': 1, 'kernel_size': 5, 'conv_type': 'standard', 'use_residual': True}, {'channels': 24, 'layers': 2, 'kernel_size': 3, 'conv_type': 'standard', 'use_residual': True}], 'threshold': 0.7}"
6,0,0.6176,0.6176,0.6030,0.5820,0.33,0.0000,0.0192,0.0104,93101,409268,0.8882,93101,4866288,1388256,5797808,0.700,2,3,127.3,"{'little': [{'channels': 24, 'layers': 2, 'kernel_size': 5, 'conv_type': 'standard', 'use_residual': True}, {'channels': 24, 'layers': 2, 'kernel_size': 3, 'conv_type': 'standard', 'use_residual': True}], 'big': [{'channels': 24, 'layers': 1, 'kernel_size': 5, 'conv_type': 'depthwise_separable', 'use_residual': True}, {'channels': 48, 'layers': 2, 'kernel_size': 5, 'conv_type': 'depthwise_separable', 'use_residual': True}, {'channels': 48, 'layers': 1, 'kernel_size': 5, 'conv_type': 'standard', 'use_residual': False}], 'threshold': 0.7}"
7,0,0.5674,0.5674,0.5362,0.5312,0.36,0.0000,0.0670,0.0232,88518,390936,0.8484,88518,1276192,624192,1676923,0.700,3,4,131.8,"{'little': [{'channels': 24, 'layers': 2, 'kernel_size': 5, 'conv_type': 'depthwise_separable', 'use_residual': False}, {'channels': 24, 'layers': 1, 'kernel_size': 5, 'conv_type': 'standard', 'use_residual': False}, {'channels': 16, 'layers': 1, 'kernel_size': 3, 'conv_type': 'depthwise_separable', 'use_residual': True}], 'big': [{'channels': 16, 'layers': 1, 'kernel_size': 3, 'conv_type': 'depthwise_separable', 'use_residual': True}, {'channels': 24, 'layers': 2, 'kernel_size': 5, 'conv_type': 'depthwise_separable', 'use_residual': False}, {'channels': 32, 'layers': 2, 'kernel_size': 3, 'conv_type': 'standard', 'use_residual': False}, {'channels': 32, 'layers': 2, 'kernel_size': 5, 'conv_type': 'standard', 'use_residual': True}], 'threshold': 0.7}"
8,0,0.5680,0.5622,0.5198,0.5640,0.17,0.0058,0.0332,0.0100,83237,369812,0.8025,83237,4165872,1248240,5200663,0.700,1,4,125.2,"{'little': [{'channels': 24, 'layers': 2, 'kernel_size': 5, 'conv_type': 'standard', 'use_residual': True}], 'big': [{'channels': 24, 'layers': 2, 'kernel_size': 3, 'conv_type': 'depthwise_separable', 'use_residual': False}, {'channels': 16, 'layers': 1, 'kernel_size': 3, 'conv_type': 'standard', 'use_residual': False}, {'channels': 64, 'layers': 2, 'kernel_size': 3, 'conv_type': 'standard', 'use_residual': False}, {'channels': 24, 'layers': 1, 'kernel_size': 3, 'conv_type': 'standard', 'use_residual': True}], 'threshold': 0.7}"
9,0,0.6030,0.6030,0.6202,0.5372,0.46,0.0000,0.0505,0.0154,75430,346776,0.7526,75430,773184,823104,1214368,0.700,3,4,134.4,"{'little': [{'channels': 32, 'layers': 2, 'kernel_size': 3, 'conv_type': 'depthwise_separable', 'use_residual': True}, {'channels': 32, 'layers': 2, 'kernel_size': 5, 'conv_type': 'depthwise_separable', 'use_residual': False}, {'channels': 32, 'layers': 1, 'kernel_size': 3, 'conv_type': 'standard', 'use_residual': False}], 'big': [{'channels': 32, 'layers': 2, 'kernel_size': 3, 'conv_type': 'depthwise_separable', 'use_residual': False}, {'channels': 48, 'layers': 1, 'kernel_size': 3, 'conv_type': 'depthwise_separable', 'use_residual': True}, {'channels': 32, 'layers': 1, 'kernel_size': 3, 'conv_type': 'depthwise_separable', 'use_residual': False}, {'channels': 32, 'layers': 2, 'kernel_size': 5, 'conv_type': 'standard', 'use_residual': True}], 'threshold': 0.7}"
10,0,0.6028,0.6028,0.4706,0.6156,0.27,0.0000,0.0879,0.0298,86589,391412,0.8494,86589,1315824,6064736,5757637,0.700,2,4,128.9,"{'little': [{'channels': 24, 'layers': 2, 'kernel_size': 5, 'conv_type': 'depthwise_separable', 'use_residual': True}, {'channels': 24, 'layers': 1, 'kernel_size': 5, 'conv_type': 'standard', 'use_residual': True}], 'big': [{'channels': 32, 'layers': 2, 'kernel_size': 3, 'conv_type': 'standard', 'use_residual': True}, {'channels': 64, 'layers': 1, 'kernel_size': 5, 'conv_type': 'standard', 'use_residual': True}, {'channels': 32, 'layers': 1, 'kernel_size': 3, 'conv_type': 'depthwise_separable', 'use_residual': False}, {'channels': 48, 'layers': 1, 'kernel_size': 5, 'conv_type': 'depthwise_separable', 'use_residual': False}], 'threshold': 0.7}"
