eval_id,generation,accuracy,params,time_s,genotype_str
1,0,0.5400,52794,139.6,"[{'ch': 32, 'ly': 2, 'ks': 5, 'ct': 'standard', 'res': True}, {'ch': 24, 'ly': 1, 'ks': 3, 'ct': 'depthwise_separable', 'res': False}, {'ch': 24, 'ly': 2, 'ks': 3, 'ct': 'depthwise_separable', 'res': False}, {'ch': 32, 'ly': 1, 'ks': 5, 'ct': 'standard', 'res': False}, {'ch': 16, 'ly': 2, 'ks': 5, 'ct': 'depthwise_separable', 'res': False}]"
2,0,0.5070,53987,133.6,"[{'ch': 24, 'ly': 2, 'ks': 5, 'ct': 'depthwise_separable', 'res': False}, {'ch': 64, 'ly': 1, 'ks': 3, 'ct': 'depthwise_separable', 'res': False}, {'ch': 48, 'ly': 2, 'ks': 3, 'ct': 'depthwise_separable', 'res': False}, {'ch': 32, 'ly': 1, 'ks': 5, 'ct': 'standard', 'res': False}, {'ch': 32, 'ly': 2, 'ks': 5, 'ct': 'depthwise_separable', 'res': True}]"
3,0,0.5406,58251,136.3,"[{'ch': 48, 'ly': 1, 'ks': 5, 'ct': 'depthwise_separable', 'res': False}, {'ch': 32, 'ly': 2, 'ks': 3, 'ct': 'standard', 'res': False}, {'ch': 24, 'ly': 2, 'ks': 5, 'ct': 'standard', 'res': True}]"
4,0,0.5564,66843,137.1,"[{'ch': 48, 'ly': 1, 'ks': 3, 'ct': 'depthwise_separable', 'res': True}, {'ch': 32, 'ly': 1, 'ks': 5, 'ct': 'standard', 'res': True}, {'ch': 48, 'ly': 1, 'ks': 3, 'ct': 'standard', 'res': True}, {'ch': 32, 'ly': 2, 'ks': 5, 'ct': 'depthwise_separable', 'res': False}, {'ch': 64, 'ly': 1, 'ks': 5, 'ct': 'depthwise_separable', 'res': True}]"
5,0,0.5844,41330,132.7,"[{'ch': 32, 'ly': 1, 'ks': 5, 'ct': 'standard', 'res': False}, {'ch': 24, 'ly': 1, 'ks': 5, 'ct': 'standard', 'res': False}, {'ch': 24, 'ly': 1, 'ks': 5, 'ct': 'standard', 'res': False}, {'ch': 24, 'ly': 2, 'ks': 5, 'ct': 'depthwise_separable', 'res': True}, {'ch': 48, 'ly': 1, 'ks': 3, 'ct': 'depthwise_separable', 'res': False}]"
6,0,0.5654,41058,137.4,"[{'ch': 32, 'ly': 2, 'ks': 5, 'ct': 'standard', 'res': True}, {'ch': 24, 'ly': 2, 'ks': 3, 'ct': 'depthwise_separable', 'res': False}, {'ch': 24, 'ly': 2, 'ks': 3, 'ct': 'standard', 'res': False}]"
7,0,0.5952,46570,138.0,"[{'ch': 32, 'ly': 2, 'ks': 3, 'ct': 'standard', 'res': False}, {'ch': 32, 'ly': 1, 'ks': 5, 'ct': 'standard', 'res': False}, {'ch': 32, 'ly': 1, 'ks': 3, 'ct': 'standard', 'res': True}]"
8,0,0.6132,67931,139.0,"[{'ch': 48, 'ly': 1, 'ks': 3, 'ct': 'depthwise_separable', 'res': False}, {'ch': 32, 'ly': 2, 'ks': 3, 'ct': 'standard', 'res': False}, {'ch': 64, 'ly': 1, 'ks': 3, 'ct': 'standard', 'res': False}, {'ch': 32, 'ly': 1, 'ks': 5, 'ct': 'depthwise_separable', 'res': True}, {'ch': 16, 'ly': 2, 'ks': 5, 'ct': 'standard', 'res': True}]"
9,0,0.6282,71746,138.0,"[{'ch': 24, 'ly': 1, 'ks': 3, 'ct': 'standard', 'res': False}, {'ch': 48, 'ly': 1, 'ks': 5, 'ct': 'standard', 'res': False}, {'ch': 48, 'ly': 2, 'ks': 3, 'ct': 'standard', 'res': False}]"
10,0,0.6338,49802,139.6,"[{'ch': 32, 'ly': 2, 'ks': 3, 'ct': 'standard', 'res': True}, {'ch': 32, 'ly': 1, 'ks': 5, 'ct': 'depthwise_separable', 'res': False}, {'ch': 32, 'ly': 1, 'ks': 5, 'ct': 'standard', 'res': False}, {'ch': 64, 'ly': 2, 'ks': 5, 'ct': 'depthwise_separable', 'res': True}]"
