eval_id,generation,accuracy,params,time_s,genotype_str
1,0,0.5496,17530,145.2,"[{'ch': 24, 'ly': 2, 'ks': 5, 'ct': 'standard', 'res': False}, {'ch': 16, 'ly': 1, 'ks': 3, 'ct': 'depthwise_separable', 'res': False}, {'ch': 8, 'ly': 1, 'ks': 3, 'ct': 'depthwise_separable', 'res': True}]"
2,0,0.5598,27851,144.1,"[{'ch': 8, 'ly': 2, 'ks': 5, 'ct': 'depthwise_separable', 'res': False}, {'ch': 24, 'ly': 2, 'ks': 5, 'ct': 'standard', 'res': False}, {'ch': 32, 'ly': 1, 'ks': 3, 'ct': 'standard', 'res': True}]"
3,0,0.5398,29738,144.5,"[{'ch': 32, 'ly': 2, 'ks': 5, 'ct': 'standard', 'res': False}, {'ch': 16, 'ly': 1, 'ks': 3, 'ct': 'depthwise_separable', 'res': True}]"
4,0,0.5792,29706,141.7,"[{'ch': 32, 'ly': 2, 'ks': 5, 'ct': 'standard', 'res': False}, {'ch': 16, 'ly': 1, 'ks': 5, 'ct': 'depthwise_separable', 'res': False}]"
5,0,0.4294,16491,144.3,"[{'ch': 32, 'ly': 2, 'ks': 5, 'ct': 'depthwise_separable', 'res': False}, {'ch': 12, 'ly': 1, 'ks': 5, 'ct': 'standard', 'res': True}, {'ch': 16, 'ly': 2, 'ks': 3, 'ct': 'standard', 'res': False}]"
6,0,0.6016,16570,141.3,"[{'ch': 16, 'ly': 2, 'ks': 5, 'ct': 'standard', 'res': True}, {'ch': 16, 'ly': 2, 'ks': 3, 'ct': 'standard', 'res': True}, {'ch': 32, 'ly': 2, 'ks': 5, 'ct': 'depthwise_separable', 'res': True}]"
7,0,0.5752,26235,147.0,"[{'ch': 16, 'ly': 1, 'ks': 3, 'ct': 'depthwise_separable', 'res': False}, {'ch': 24, 'ly': 2, 'ks': 5, 'ct': 'standard', 'res': False}, {'ch': 24, 'ly': 2, 'ks': 3, 'ct': 'depthwise_separable', 'res': False}]"
8,0,0.5920,17002,142.1,"[{'ch': 32, 'ly': 2, 'ks': 3, 'ct': 'standard', 'res': False}, {'ch': 16, 'ly': 1, 'ks': 5, 'ct': 'depthwise_separable', 'res': True}, {'ch': 16, 'ly': 2, 'ks': 3, 'ct': 'standard', 'res': False}]"
9,0,0.5324,22786,143.4,"[{'ch': 24, 'ly': 2, 'ks': 5, 'ct': 'standard', 'res': False}, {'ch': 8, 'ly': 2, 'ks': 5, 'ct': 'depthwise_separable', 'res': False}, {'ch': 24, 'ly': 1, 'ks': 5, 'ct': 'standard', 'res': True}]"
10,0,0.5088,16546,141.8,"[{'ch': 24, 'ly': 2, 'ks': 5, 'ct': 'standard', 'res': False}]"
11,0,0.5276,19162,141.9,"[{'ch': 24, 'ly': 2, 'ks': 5, 'ct': 'standard', 'res': True}, {'ch': 12, 'ly': 1, 'ks': 3, 'ct': 'standard', 'res': False}]"
12,0,0.5646,22586,142.1,"[{'ch': 24, 'ly': 2, 'ks': 5, 'ct': 'standard', 'res': False}, {'ch': 32, 'ly': 1, 'ks': 5, 'ct': 'depthwise_separable', 'res': False}, {'ch': 16, 'ly': 1, 'ks': 3, 'ct': 'standard', 'res': False}]"
13,0,0.5598,17878,143.5,"[{'ch': 24, 'ly': 2, 'ks': 5, 'ct': 'standard', 'res': False}, {'ch': 12, 'ly': 2, 'ks': 5, 'ct': 'depthwise_separable', 'res': False}]"
14,0,0.5136,29883,143.7,"[{'ch': 32, 'ly': 2, 'ks': 3, 'ct': 'depthwise_separable', 'res': False}, {'ch': 16, 'ly': 2, 'ks': 5, 'ct': 'standard', 'res': False}, {'ch': 24, 'ly': 2, 'ks': 3, 'ct': 'standard', 'res': False}]"
15,0,0.4930,22778,143.0,"[{'ch': 32, 'ly': 1, 'ks': 5, 'ct': 'standard', 'res': False}, {'ch': 24, 'ly': 1, 'ks': 5, 'ct': 'standard', 'res': True}]"
16,0,0.5088,16154,144.1,"[{'ch': 16, 'ly': 1, 'ks': 5, 'ct': 'standard', 'res': True}, {'ch': 32, 'ly': 2, 'ks': 3, 'ct': 'standard', 'res': False}, {'ch': 12, 'ly': 1, 'ks': 3, 'ct': 'depthwise_separable', 'res': False}]"
17,0,0.5748,25578,145.0,"[{'ch': 16, 'ly': 1, 'ks': 5, 'ct': 'standard', 'res': False}, {'ch': 24, 'ly': 2, 'ks': 5, 'ct': 'standard', 'res': False}]"
18,0,0.5654,26515,134.3,"[{'ch': 12, 'ly': 2, 'ks': 5, 'ct': 'depthwise_separable', 'res': True}, {'ch': 16, 'ly': 2, 'ks': 3, 'ct': 'depthwise_separable', 'res': True}, {'ch': 24, 'ly': 2, 'ks': 5, 'ct': 'standard', 'res': True}]"
19,0,0.5280,15075,123.6,"[{'ch': 12, 'ly': 1, 'ks': 3, 'ct': 'depthwise_separable', 'res': True}, {'ch': 32, 'ly': 1, 'ks': 5, 'ct': 'standard', 'res': True}, {'ch': 16, 'ly': 1, 'ks': 3, 'ct': 'standard', 'res': False}]"
20,0,0.5014,15795,122.9,"[{'ch': 16, 'ly': 2, 'ks': 5, 'ct': 'depthwise_separable', 'res': True}, {'ch': 32, 'ly': 1, 'ks': 3, 'ct': 'standard', 'res': False}, {'ch': 12, 'ly': 1, 'ks': 5, 'ct': 'standard', 'res': True}]"
21,1,0.4162,20667,125.9,"[{'ch': 32, 'ly': 1, 'ks': 3, 'ct': 'depthwise_separable', 'res': True}, {'ch': 24, 'ly': 1, 'ks': 5, 'ct': 'standard', 'res': True}]"
22,1,0.5344,17786,126.2,"[{'ch': 24, 'ly': 2, 'ks': 5, 'ct': 'standard', 'res': False}, {'ch': 16, 'ly': 1, 'ks': 3, 'ct': 'depthwise_separable', 'res': False}, {'ch': 8, 'ly': 1, 'ks': 5, 'ct': 'depthwise_separable', 'res': True}]"
23,1,0.5468,17878,123.6,"[{'ch': 24, 'ly': 2, 'ks': 5, 'ct': 'standard', 'res': False}, {'ch': 12, 'ly': 2, 'ks': 5, 'ct': 'depthwise_separable', 'res': False}]"
24,1,0.5164,16074,125.0,"[{'ch': 16, 'ly': 2, 'ks': 5, 'ct': 'standard', 'res': True}, {'ch': 16, 'ly': 2, 'ks': 5, 'ct': 'depthwise_separable', 'res': False}, {'ch': 16, 'ly': 1, 'ks': 5, 'ct': 'standard', 'res': True}]"
25,1,0.4486,20699,125.1,"[{'ch': 24, 'ly': 1, 'ks': 3, 'ct': 'depthwise_separable', 'res': True}, {'ch': 32, 'ly': 1, 'ks': 5, 'ct': 'standard', 'res': True}]"
26,1,0.5964,29642,124.4,"[{'ch': 32, 'ly': 2, 'ks': 3, 'ct': 'standard', 'res': False}, {'ch': 16, 'ly': 2, 'ks': 5, 'ct': 'standard', 'res': False}]"
27,1,0.5110,15795,124.0,"[{'ch': 16, 'ly': 2, 'ks': 5, 'ct': 'depthwise_separable', 'res': True}, {'ch': 32, 'ly': 1, 'ks': 3, 'ct': 'standard', 'res': False}, {'ch': 12, 'ly': 1, 'ks': 5, 'ct': 'standard', 'res': True}]"
28,1,0.5040,16666,122.9,"[{'ch': 24, 'ly': 2, 'ks': 5, 'ct': 'standard', 'res': True}]"
29,1,0.4480,19042,123.2,"[{'ch': 24, 'ly': 2, 'ks': 5, 'ct': 'standard', 'res': False}, {'ch': 12, 'ly': 1, 'ks': 3, 'ct': 'standard', 'res': False}]"
30,1,0.5532,18554,123.1,"[{'ch': 24, 'ly': 2, 'ks': 5, 'ct': 'standard', 'res': False}, {'ch': 32, 'ly': 1, 'ks': 3, 'ct': 'depthwise_separable', 'res': True}]"
31,1,0.5672,22930,124.0,"[{'ch': 12, 'ly': 1, 'ks': 5, 'ct': 'standard', 'res': True}, {'ch': 24, 'ly': 2, 'ks': 5, 'ct': 'standard', 'res': False}]"
32,1,0.5586,16454,124.2,"[{'ch': 16, 'ly': 1, 'ks': 5, 'ct': 'standard', 'res': True}, {'ch': 32, 'ly': 2, 'ks': 3, 'ct': 'standard', 'res': False}, {'ch': 12, 'ly': 2, 'ks': 3, 'ct': 'depthwise_separable', 'res': False}]"
33,1,0.6162,26362,124.7,"[{'ch': 32, 'ly': 2, 'ks': 3, 'ct': 'standard', 'res': True}, {'ch': 16, 'ly': 2, 'ks': 5, 'ct': 'depthwise_separable', 'res': True}, {'ch': 16, 'ly': 2, 'ks': 5, 'ct': 'standard', 'res': True}]"
34,1,0.5168,21962,123.7,"[{'ch': 32, 'ly': 1, 'ks': 5, 'ct': 'standard', 'res': False}, {'ch': 24, 'ly': 1, 'ks': 5, 'ct': 'standard', 'res': False}]"
35,1,0.5560,27051,125.5,"[{'ch': 16, 'ly': 1, 'ks': 5, 'ct': 'depthwise_separable', 'res': False}, {'ch': 24, 'ly': 2, 'ks': 5, 'ct': 'standard', 'res': False}, {'ch': 24, 'ly': 2, 'ks': 5, 'ct': 'depthwise_separable', 'res': False}]"
36,1,0.5398,16154,121.0,"[{'ch': 16, 'ly': 1, 'ks': 5, 'ct': 'standard', 'res': True}, {'ch': 32, 'ly': 2, 'ks': 3, 'ct': 'standard', 'res': False}, {'ch': 12, 'ly': 1, 'ks': 3, 'ct': 'depthwise_separable', 'res': False}]"
37,1,0.5626,22650,125.5,"[{'ch': 32, 'ly': 2, 'ks': 3, 'ct': 'standard', 'res': False}, {'ch': 24, 'ly': 2, 'ks': 3, 'ct': 'standard', 'res': False}]"
38,1,0.5996,17162,124.9,"[{'ch': 32, 'ly': 2, 'ks': 3, 'ct': 'standard', 'res': True}, {'ch': 16, 'ly': 1, 'ks': 5, 'ct': 'depthwise_separable', 'res': True}, {'ch': 16, 'ly': 2, 'ks': 3, 'ct': 'standard', 'res': False}]"
